,word
0,food
1,place
2,great
3,good
4,time
5,service
6,one
7,get
8,like
9,go
10,back
11,also
12,would
13,really
14,restaurant
15,try
16,well
17,chicken
18,staff
19,menu
20,nice
21,pizza
22,come
23,order
24,make
25,ordered
26,even
27,wait
28,sauce
29,ever
30,little
31,made
32,flavor
33,first
34,dish
35,meal
36,could
37,drink
38,cheese
39,experience
40,came
41,day
42,price
43,friend
44,people
45,salad
46,never
47,much
48,went
49,table
50,right
51,dinner
52,sandwich
53,night
54,bar
55,know
56,burger
57,want
58,say
59,way
60,take
61,sure
62,going
63,two
64,taste
65,better
66,around
